external_id,SMILES,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
1,C(CCl)Cl,SMILES,-0.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
2,CC(=O)C,SMILES,-0.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
3,C1=CC=CC=C1,SMILES,0.35,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
4,CCCCO,SMILES,-0.02,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
5,C,SMILES,0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
6,C1=CC=C(C(=C1)C(=O)O)O,SMILES,-1.11,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
7,CCCCCCCC,SMILES,0.69,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
8,CN1C(CCC1=O)C2=CN=CC=C2,SMILES,-0.22,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
9,C1CC(NC1)C2=CN=CC=C2,SMILES,0.32,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
10,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SMILES,1.4,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
11,CCO,SMILES,-0.16,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
12,CO,SMILES,0.02,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
13,CN1CCCC1C2=CN=CC=C2,SMILES,0.38,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
14,N#N,SMILES,0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
15,N#[N+][O-],SMILES,0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
16,O,SMILES,-0.04,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
17,CCCO,SMILES,-0.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
18,CC1=CC=CC=C1,SMILES,0.36,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
19,C(=O)(N)N,SMILES,-0.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
20,CC(CC1=CC=CC=C1)NC,SMILES,0.95,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
21,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,SMILES,0.48,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
22,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,SMILES,-0.05,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
23,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,SMILES,-0.12,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
24,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,SMILES,-0.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
25,CC(=O)NC1=CC=C(C=C1)O,SMILES,-0.37,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
26,C1=NC2=C(N1COCCO)NC(=NC2=O)N,SMILES,-0.84,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
27,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,SMILES,-1.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
28,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,SMILES,0.02,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
29,CC(C)NCC(COC1=CC=CC=C1CC=C)O,SMILES,-0.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
30,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SMILES,-0.32,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
31,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,SMILES,0.9,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
32,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,SMILES,0.11,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
33,CC1=CC(=O)N(N1C)C2=CC=CC=C2,SMILES,-0.11,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
34,CC(=O)OC1=CC=CC=C1C(=O)O,SMILES,-0.61,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
35,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,SMILES,-1.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
36,CCC1(C(=O)NC(=O)NC1=O)CC,SMILES,-0.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
37,CCOC(=O)C1=CC=C(C=C1)N,SMILES,0.27,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
38,CNCCC1=CC=CC=N1,SMILES,-0.34,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
39,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,SMILES,0.39,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
40,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,SMILES,0.85,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
41,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,SMILES,-1.1,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
42,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,SMILES,1.38,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
43,CC(C)(C)NCC(COC1=CC=CC=C1C#N)O,SMILES,0.38,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
44,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,SMILES,0.49,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
45,CCCCOC(=O)C1=CC=C(C=C1)N,SMILES,0.42,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
46,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,SMILES,-0.04,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
47,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,SMILES,-0.64,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
48,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,SMILES,-0.04,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
49,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,SMILES,-0.34,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
50,C(CCl)NC(=O)N(CCCl)N=O,SMILES,-0.52,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
51,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,SMILES,0.01,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
52,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,SMILES,-2.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
53,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,SMILES,-1.7,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
54,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,SMILES,1.02,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
55,CC1=C(N=CN1)CSCCNC(=NC)NC#N,SMILES,-1.06,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
56,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,SMILES,0.36,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
57,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,SMILES,0.12,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
58,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,SMILES,1.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
59,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,SMILES,0.52,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
60,CC(CC1=CC=CC=C1)N,SMILES,0.93,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
61,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,SMILES,0.47,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
62,C1CC(OC1CO)N2C=NC3=C2NC=NC3=O,SMILES,-1.3,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
63,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,SMILES,1.26,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
64,CCCC(CCC)C(=O)O,SMILES,-0.41,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
65,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,SMILES,-0.85,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
66,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,SMILES,0.89,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
67,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,SMILES,0.64,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
68,C(C(OC(F)F)(F)F)(F)Cl,SMILES,0.22,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
69,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,SMILES,-1.4,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
70,CCOC1=CC=CC=C1C(=O)N,SMILES,-0.05,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
71,CCOCC,SMILES,0,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
72,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,SMILES,-1.42,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
73,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,SMILES,-2,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
74,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,SMILES,0.59,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
75,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,SMILES,-0.98,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
76,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,SMILES,1.51,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
77,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,SMILES,-0.29,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
78,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,SMILES,0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
79,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,SMILES,0.72,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
80,C1=CC(=C(C=C1O)C(=O)O)O,SMILES,0.09,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
81,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,SMILES,-0.69,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
82,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,SMILES,1.33,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
83,C(C(F)(F)F)(Cl)Br,SMILES,0.32,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
84,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,SMILES,0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
85,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,SMILES,0.36,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
86,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,SMILES,-0.18,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
87,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,SMILES,0.34,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
88,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,SMILES,0.98,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
89,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,SMILES,-1.26,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
90,C(C(F)(F)F)(OC(F)F)Cl,SMILES,0.37,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
91,CC(C)O,SMILES,-0.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
92,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,SMILES,0.29,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
93,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,SMILES,0.77,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
94,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,SMILES,0.44,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
95,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,SMILES,0.63,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
96,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,SMILES,-0.28,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
97,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,SMILES,-1.51,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
98,COC(C(Cl)Cl)(F)F,SMILES,0.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
99,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,SMILES,1.15,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
100,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,SMILES,0.99,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
101,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,SMILES,0.37,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
102,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,SMILES,0.53,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
103,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,SMILES,-0.66,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
104,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,SMILES,0,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
105,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,SMILES,0.78,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
106,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,SMILES,-0.82,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
107,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,SMILES,0.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
108,CN1C=NC2=C1C(=O)N(C(=O)N2)C,SMILES,0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
109,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,SMILES,0.51,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
110,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,SMILES,0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
111,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,SMILES,-0.52,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
112,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,SMILES,-0.14,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
113,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,SMILES,-0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
114,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,SMILES,0.05,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
115,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,SMILES,1.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
116,CC(C)C1=C(C(=CC=C1)C(C)C)O,SMILES,0.63,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
117,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,SMILES,0.84,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
118,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,SMILES,0.49,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
119,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,SMILES,-1.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
